Producto,Enero,Febrero,Marzo
iPhone 13,1149.56,1099.87,999.21
Samsung Galaxy S21 Ultra,1199.99,1249.32,1149.45
PlayStation 5,499.43,499.76,499.98
AirPods Pro,249.77,249.32,249.99
Nintendo Switch OLED,349.45,349.87,349.67
Apple Watch Series 7,399.45,399.87,399.99
Bose QuietComfort 35 II,329.56,329.76,329.32
GoPro HERO10 Black,499.67,499.87,499.99
Fitbit Charge 5,179.76,179.32,179.45
Sony WH-1000XM4,349.87,349.99,349.45
DJI Mavic 3,2299.76,2299.45,2299.87
Canon EOS R6,2499.32,2499.56,2499.76
iPad Pro,1099.87,1099.45,1099.56
Microsoft Surface Laptop 4,1299.56,1299.99,1299.87
Sony PlayStation 4 Pro,399.32,399.45,399.76
Xbox Series X,499.99,499.67,499.87
Samsung QLED 4K TV,1499.45,1499.76,1499.56
LG OLED TV,1999.76,1999.45,1999.87
Apple MacBook Pro,1999.87,1999.56,1999.32
HP Spectre x360,1349.32,1349.45,1349.76
Dell XPS 15,1899.56,1899.32,1899.45
Lenovo ThinkPad X1 Carbon,1999.45,1999.76,1999.87
Google Pixel 6 Pro,899.32,899.76,899.56
Samsung Galaxy Z Fold3,1799.76,1799.87,1799.45
Sony BRAVIA XR A90J,3299.45,3299.56,3299.32
LG C1 OLED,2299.56,2299.87,2299.76
Bose SoundLink Revolve+,299.45,299.76,299.32
Sonos Move,399.87,399.99,399.45
Amazon Echo Show 10,249.99,249.67,249.87
Apple HomePod Mini,99.67,99.45,99.87
Nest Learning Thermostat,249.76,249.32,249.45
iRobot Roomba i7+,799.32,799.56,799.76
Instant Pot Duo Crisp,199.87,199.45,199.99
KitchenAid Stand Mixer,379.45,379.56,379.76
Cuisinart Coffee Maker,99.32,99.87,99.45
Vitamix A3500,599.76,599.99,599.45
Fitbit Versa 3,229.45,229.56,229.87
Garmin Fenix 6 Pro,699.56,699.87,699.32
GoPro HERO9 Black,349.45,349.56,349.76
Breville Smart Oven Air,399.87,399.99,399.45
Ninja Foodi Deluxe,249.32,249.87,249.45
Keurig K-Elite,169.87,169.45,169.99
JBL Charge 5,179.76,179.99,179.45
Sony WH-CH710N,199.45,199.76,199.87
Bose QuietComfort Earbuds,279.56,279.87,279.99
Beats Studio Buds,149.99,149.67,149.87